15/11/15;0,85881;0,8393299155;0,7964276904;0,0429022251;0,0617556186
16/11/15;0,86773;0,8436991593;0,8017093430;0,0419898163;0,0581690368
17/11/15;0,93000;0,8569762117;0,8112123546;0,0457638571;0,0545188706
18/11/15;0,92893;0,8680460253;0,8199321802;0,0481138451;0,0510437833
19/11/15;0,88794;0,8711066368;0,8249697965;0,0461368403;0,0479480893
20/11/15;0,87500;0,8717056158;0,8286757375;0,0430298783;0,0460949416
21/11/15;0,92190;0,8794278288;0,8355812384;0,0438465904;0,0450594118
22/11/15;0,91562;0,8849958551;0,8415100356;0,0434858195;0,0444022054
23/11/15;0,90000;0,8873041851;0,8458426256;0,0414615595;0,0440811591
24/11/15;0,84976;0,8815281566;0,8461328015;0,0353953551;0,0432470624
25/11/15;0,82131;0,8722638248;0,8442940755;0,0279697493;0,0416892772
26/11/15;0,84185;0,8675847748;0,8441130329;0,0234717419;0,0392123755
27/11/15;0,83180;0,8620794248;0,8432009564;0,0188784684;0,0359640003
28/11/15;0,86750;0,8629133594;0,8450008856;0,0179124738;0,0328279596
29/11/15;0,82480;0,8570497656;0,8435045237;0,0135452419;0,0295518889
30/11/15;0,82580;0,8522421094;0,8421930775;0,0100490319;0,0257966046
01/12/15;0,84061;0,8504525541;0,8420758125;0,0083767416;0,0218955959
02/12/15;0,77800;0,8393060073;0,8373294560;0,0019765513;0,0175083728
03/12/15;0,74969;0,8255189293;0,8308376444;-0,0053187151;0,0129845872
04/12/15;0,77662;0,8179960171;0,8268215226;-0,0088255055;0,0088962256
05/12/15;0,78596;0,8130673991;0,8237947431;-0,0107273440;0,0050963271
06/12/15;0,76333;0,8054154915;0,8193158732;-0,0139003817;0,0014542327
07/12/15;0,72884;0,7936346467;0,8126139567;-0,0189793100;-0,0026448544
08/12/15;0,74914;0,7867893164;0,8079121821;-0,0211228657;-0,0064968664
09/12/15;0,72000;0,7765140370;0,8014001686;-0,0248861316;-0,0103785512
10/12/15;0,77045;0,7755811082;0,7991075635;-0,0235264553;-0,0139233508
11/12/15;0,82500;0,7831840146;0,8010255218;-0,0178415072;-0,0161253573
12/12/15;0,88000;0,7980787816;0,8068754832;-0,0087967016;-0,0165118003
13/12/15;0,86032;0,8076543537;0,8108343363;-0,0031799826;-0,0158845200
14/12/15;0,89000;0,8203229147;0,8166984595;0,0036244552;-0,0142898756
15/12/15;0,91999;0,8356563124;0,8243496847;0,0113066277;-0,0114890968
16/12/15;0,90500;0,8463245720;0,8303237821;0,0160007899;-0,0076024190
17/12/15;0,86087;0,8485623302;0,8325864649;0,0159758653;-0,0034803378
18/12/15;0,83362;0,8462635102;0,8326630231;0,0136004871;0,0007959532
19/12/15;0,82620;0,8431768163;0,8321842806;0,0109925357;0,0046313966
20/12/15;0,82239;0,8399788446;0,8314587783;0,0085200663;0,0075604603
21/12/15;0,82000;0,8369051762;0,8306099799;0,0062951963;0,0092373379
22/12/15;0,79200;0,8299966876;0,8277499814;0,0022467062;0,0098403033
23/12/15;0,77800;0,8219971972;0,8240647976;-0,0020676004;0,0092078527
24/12/15;0,78548;0,8163791669;0,8212066644;-0,0048274975;0,0074151721
25/12/15;0,79001;0,8123223720;0,8188958004;-0,0065734284;0,0049069256
26/12/15;0,78963;0,8088312378;0,8167279633;-0,0078967255;0,0022544155
